Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
2797,1,13,1,2,2,2,certified
2801,-1,17,-1,1,1,1,certified
2803,1,19,1,2,2,2,certified
2819,-1,11,1,2,2,2,certified
2833,1,1,1,0,0,0,certified
2837,-1,5,-1,,1,3,bounded
2843,-1,11,-1,1,1,1,certified
2851,1,19,-1,1,1,1,certified
2857,1,1,-1,1,1,1,certified
2861,-1,5,1,2,2,2,certified
2879,-1,23,-1,1,1,1,certified
2887,1,7,-1,1,1,1,certified
2897,-1,17,1,2,2,2,certified
2903,-1,23,-1,1,1,1,certified
2909,-1,5,-1,1,1,1,certified
2917,1,13,1,0,0,0,certified
2927,-1,23,1,0,0,0,certified
2939,-1,11,-1,1,1,1,certified
2953,1,1,1,2,2,2,certified
2957,-1,5,1,,0,2,bounded
2963,-1,11,1,0,0,0,certified
2969,-1,17,1,,0,2,bounded
2971,1,19,-1,1,1,1,certified
2999,-1,23,1,0,0,0,certified
3001,1,1,-1,1,1,1,certified
3011,-1,11,-1,1,1,1,certified
3019,1,19,1,0,0,0,certified
3023,-1,23,-1,1,1,1,certified
3037,1,13,-1,1,1,1,certified
3041,-1,17,1,2,2,2,certified
3049,1,1,1,,0,2,bounded
3061,1,13,1,2,2,2,certified
3067,1,19,-1,1,1,1,certified
3079,1,7,-1,1,1,1,certified
3083,-1,11,-1,1,1,1,certified
3089,-1,17,-1,1,1,1,certified
3109,1,13,-1,1,1,1,certified
3119,-1,23,-1,1,1,1,certified
3121,1,1,1,,0,2,bounded
3137,-1,17,1,0,0,0,certified
3163,1,19,1,2,2,2,certified
3167,-1,23,-1,1,1,1,certified
3169,1,1,1,2,2,2,certified
3181,1,13,-1,1,1,1,certified
3187,1,19,-1,1,1,1,certified
3191,-1,23,-1,1,1,1,certified
3203,-1,11,-1,1,1,1,certified
3209,-1,17,1,,0,2,bounded
3217,1,1,-1,1,1,1,certified
3221,-1,5,1,0,0,0,certified
3229,1,13,1,,0,2,bounded
3251,-1,11,1,2,2,2,certified
3253,1,13,-1,1,1,1,certified
3257,-1,17,1,2,2,2,certified
3259,1,19,-1,3,3,3,certified
3271,1,7,1,2,2,2,certified
3299,-1,11,-1,1,1,1,certified
3301,1,13,1,0,0,0,certified
3307,1,19,1,0,0,0,certified
3313,1,1,1,2,2,2,certified
3319,1,7,-1,1,1,1,certified
3323,-1,11,1,0,0,0,certified
3329,-1,17,1,0,0,0,certified
3331,1,19,-1,3,3,3,certified
3343,1,7,1,2,2,2,certified
3347,-1,11,-1,1,1,1,certified
3359,-1,23,1,2,2,2,certified
3361,1,1,-1,1,1,1,certified
3371,-1,11,-1,3,3,3,certified
3373,1,13,1,,0,2,bounded
3389,-1,5,1,0,0,0,certified
3391,1,7,-1,,1,3,bounded
3407,-1,23,-1,3,3,3,certified
3413,-1,5,-1,1,1,1,certified
3433,1,1,-1,1,1,1,certified
3449,-1,17,-1,1,1,1,certified
3457,1,1,1,,0,2,bounded
3461,-1,5,1,0,0,0,certified
3463,1,7,-1,1,1,1,certified
3467,-1,11,1,2,2,2,certified
3469,1,13,-1,3,3,3,certified
3491,-1,11,-1,1,1,1,certified
3499,1,19,-1,1,1,1,certified
3511,1,7,-1,1,1,1,certified
3517,1,13,1,2,2,2,certified
3527,-1,23,-1,1,1,1,certified
3529,1,1,1,,0,2,bounded
3533,-1,5,1,0,0,0,certified
3539,-1,11,1,0,0,0,certified
3541,1,13,-1,1,1,1,certified
3547,1,19,-1,3,3,3,certified
3557,-1,5,-1,1,1,1,certified
3559,1,7,1,0,0,0,certified
3571,1,19,-1,1,1,1,certified
3581,-1,5,1,,0,2,bounded
3583,1,7,-1,1,1,1,certified
3593,-1,17,-1,1,1,1,certified
3607,1,7,-1,1,1,1,certified
3613,1,13,-1,1,1,1,certified
3617,-1,17,1,2,2,2,certified
3623,-1,23,-1,3,3,3,certified
3631,1,7,1,2,2,2,certified
3637,1,13,1,0,0,0,certified
3643,1,19,-1,1,1,1,certified
3659,-1,11,-1,1,1,1,certified
3671,-1,23,-1,1,1,1,certified
3673,1,1,1,0,0,0,certified
3677,-1,5,1,0,0,0,certified
3691,1,19,-1,1,1,1,certified
3697,1,1,1,0,0,0,certified
3701,-1,5,-1,1,1,1,certified
3709,1,13,1,2,2,2,certified
3719,-1,23,1,0,0,0,certified
3727,1,7,-1,1,1,1,certified
3733,1,13,1,2,2,2,certified
3739,1,19,1,2,2,2,certified
3761,-1,17,1,0,0,0,certified
3767,-1,23,-1,1,1,1,certified
3769,1,1,1,2,2,2,certified
3779,-1,11,-1,1,1,1,certified
3793,1,1,-1,1,1,1,certified
3797,-1,5,1,0,0,0,certified
3803,-1,11,-1,1,1,1,certified
3821,-1,5,1,0,0,0,certified
3823,1,7,-1,1,1,1,certified
3833,-1,17,1,0,0,0,certified
3847,1,7,1,0,0,0,certified
3851,-1,11,-1,1,1,1,certified
3853,1,13,1,0,0,0,certified
3863,-1,23,1,2,2,2,certified
3877,1,13,1,2,2,2,certified
3881,-1,17,-1,1,1,1,certified
3889,1,1,1,2,2,2,certified
3907,1,19,-1,,1,3,bounded
3911,-1,23,-1,1,1,1,certified
3917,-1,5,-1,3,3,3,certified
3919,1,7,1,2,2,2,certified
3923,-1,11,-1,1,1,1,certified
3929,-1,17,1,,0,2,bounded
3931,1,19,-1,1,1,1,certified
3943,1,7,-1,1,1,1,certified
3947,-1,11,-1,1,1,1,certified
3967,1,7,-1,3,3,3,certified
3989,-1,5,-1,1,1,1,certified
4001,-1,17,1,2,2,2,certified
4003,1,19,-1,1,1,1,certified
4007,-1,23,1,0,0,0,certified
4013,-1,5,1,2,2,2,certified
4019,-1,11,-1,1,1,1,certified
4021,1,13,1,,0,2,bounded
4027,1,19,1,0,0,0,certified
4049,-1,17,1,2,2,2,certified
4051,1,19,-1,1,1,1,certified
4057,1,1,1,,0,2,bounded
4073,-1,17,1,0,0,0,certified
4079,-1,23,1,0,0,0,certified
4091,-1,11,-1,1,1,1,certified
