Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
7351,1,7,-1,1,1,1,certified
7369,1,1,1,0,0,0,certified
7393,1,1,-1,1,1,1,certified
7411,1,19,1,2,2,2,certified
7417,1,1,1,2,2,2,certified
7433,-1,17,1,0,0,0,certified
7451,-1,11,-1,1,1,1,certified
7457,-1,17,1,0,0,0,certified
7459,1,19,-1,1,1,1,certified
7477,1,13,1,0,0,0,certified
7481,-1,17,-1,1,1,1,certified
7487,-1,23,-1,1,1,1,certified
7489,1,1,1,2,2,2,certified
7499,-1,11,1,2,2,2,certified
7507,1,19,-1,1,1,1,certified
7517,-1,5,-1,1,1,1,certified
7523,-1,11,-1,1,1,1,certified
7529,-1,17,1,2,2,2,certified
7537,1,1,-1,1,1,1,certified
7541,-1,5,1,0,0,0,certified
7547,-1,11,-1,1,1,1,certified
7549,1,13,1,0,0,0,certified
7559,-1,23,-1,1,1,1,certified
7561,1,1,1,,0,2,bounded
7573,1,13,-1,1,1,1,certified
7577,-1,17,1,,0,2,bounded
7583,-1,23,-1,3,3,3,certified
7589,-1,5,-1,1,1,1,certified
7591,1,7,1,0,0,0,certified
7603,1,19,-1,1,1,1,certified
7607,-1,23,1,2,2,2,certified
7621,1,13,1,2,2,2,certified
7639,1,7,-1,1,1,1,certified
7643,-1,11,1,0,0,0,certified
7649,-1,17,1,0,0,0,certified
7669,1,13,1,,0,2,bounded
7673,-1,17,1,0,0,0,certified
7681,1,1,-1,1,1,1,certified
7687,1,7,-1,1,1,1,certified
7691,-1,11,-1,1,1,1,certified
7699,1,19,1,2,2,2,certified
7703,-1,23,-1,1,1,1,certified
7717,1,13,-1,1,1,1,certified
7723,1,19,-1,3,3,3,certified
7727,-1,23,-1,1,1,1,certified
7741,1,13,1,0,0,0,certified
7753,1,1,-1,1,1,1,certified
7757,-1,5,1,0,0,0,certified
7759,1,7,-1,1,1,1,certified
7789,1,13,-1,1,1,1,certified
7793,-1,17,1,2,2,2,certified
7817,-1,17,1,2,2,2,certified
7823,-1,23,1,0,0,0,certified
7829,-1,5,1,,0,2,bounded
7841,-1,17,-1,3,3,3,certified
7853,-1,5,1,,0,2,bounded
7867,1,19,-1,1,1,1,certified
7873,1,1,1,0,0,0,certified
7877,-1,5,-1,1,1,1,certified
7879,1,7,1,2,2,2,certified
7883,-1,11,-1,1,1,1,certified
7901,-1,5,1,2,2,2,certified
7907,-1,11,-1,1,1,1,certified
7919,-1,23,-1,1,1,1,certified
7927,1,7,-1,1,1,1,certified
7933,1,13,-1,1,1,1,certified
7937,-1,17,1,0,0,0,certified
7949,-1,5,-1,1,1,1,certified
7951,1,7,1,2,2,2,certified
7963,1,19,-1,1,1,1,certified
7993,1,1,1,0,0,0,certified
8009,-1,17,1,0,0,0,certified
8011,1,19,-1,1,1,1,certified
8017,1,1,1,0,0,0,certified
8039,-1,23,1,2,2,2,certified
8053,1,13,1,,0,2,bounded
8059,1,19,1,2,2,2,certified
8069,-1,5,1,,0,2,bounded
8081,-1,17,1,,0,2,bounded
8087,-1,23,-1,1,1,1,certified
8089,1,1,1,,0,2,bounded
8093,-1,5,-1,1,1,1,certified
8101,1,13,1,0,0,0,certified
8111,-1,23,1,2,2,2,certified
8117,-1,5,1,0,0,0,certified
8123,-1,11,-1,1,1,1,certified
8147,-1,11,1,2,2,2,certified
8161,1,1,1,0,0,0,certified
8167,1,7,1,2,2,2,certified
8171,-1,11,-1,1,1,1,certified
8179,1,19,-1,1,1,1,certified
8191,1,7,-1,1,1,1,certified
8209,1,1,1,0,0,0,certified
8219,-1,11,1,2,2,2,certified
8221,1,13,-1,1,1,1,certified
8231,-1,23,-1,1,1,1,certified
8233,1,1,1,0,0,0,certified
8237,-1,5,-1,3,3,3,certified
8243,-1,11,-1,3,3,3,certified
8263,1,7,-1,,1,3,bounded
8269,1,13,1,0,0,0,certified
8273,-1,17,-1,1,1,1,certified
8287,1,7,-1,1,1,1,certified
8291,-1,11,1,2,2,2,certified
8293,1,13,-1,1,1,1,certified
8297,-1,17,1,2,2,2,certified
8311,1,7,1,2,2,2,certified
8317,1,13,1,,0,2,bounded
8329,1,1,-1,1,1,1,certified
8353,1,1,1,0,0,0,certified
8363,-1,11,1,2,2,2,certified
8369,-1,17,1,2,2,2,certified
8377,1,1,1,2,2,2,certified
8387,-1,11,-1,1,1,1,certified
8389,1,13,1,2,2,2,certified
8419,1,19,1,2,2,2,certified
8423,-1,23,-1,1,1,1,certified
8429,-1,5,1,0,0,0,certified
8431,1,7,-1,1,1,1,certified
8443,1,19,-1,1,1,1,certified
8447,-1,23,-1,1,1,1,certified
8461,1,13,1,0,0,0,certified
8467,1,19,-1,1,1,1,certified
8501,-1,5,1,0,0,0,certified
8513,-1,17,1,2,2,2,certified
8521,1,1,1,0,0,0,certified
8527,1,7,1,0,0,0,certified
8537,-1,17,1,2,2,2,certified
8539,1,19,-1,1,1,1,certified
8543,-1,23,1,,0,2,bounded
8563,1,19,1,2,2,2,certified
8573,-1,5,1,0,0,0,certified
8581,1,13,-1,1,1,1,certified
8597,-1,5,-1,1,1,1,certified
8599,1,7,1,0,0,0,certified
8609,-1,17,1,,0,2,bounded
8623,1,7,-1,3,3,3,certified
8627,-1,11,-1,1,1,1,certified
8629,1,13,1,0,0,0,certified
8641,1,1,1,0,0,0,certified
8647,1,7,-1,1,1,1,certified
8663,-1,23,-1,1,1,1,certified
8669,-1,5,-1,1,1,1,certified
8677,1,13,1,2,2,2,certified
8681,-1,17,1,0,0,0,certified
8689,1,1,-1,1,1,1,certified
8693,-1,5,1,2,2,2,certified
8699,-1,11,-1,1,1,1,certified
8707,1,19,1,0,0,0,certified
8713,1,1,1,0,0,0,certified
8719,1,7,-1,1,1,1,certified
8731,1,19,-1,1,1,1,certified
8737,1,1,1,2,2,2,certified
8741,-1,5,-1,1,1,1,certified
8747,-1,11,-1,3,3,3,certified
8753,-1,17,1,0,0,0,certified
8761,1,1,-1,1,1,1,certified
8779,1,19,1,2,2,2,certified
8783,-1,23,-1,1,1,1,certified
8803,1,19,-1,3,3,3,certified
8807,-1,23,-1,1,1,1,certified
8819,-1,11,-1,1,1,1,certified
8821,1,13,1,,0,2,bounded
8831,-1,23,1,2,2,2,certified
8837,-1,5,1,0,0,0,certified
8839,1,7,-1,1,1,1,certified
8849,-1,17,-1,1,1,1,certified
8861,-1,5,1,2,2,2,certified
8863,1,7,-1,1,1,1,certified
8867,-1,11,1,2,2,2,certified
8887,1,7,1,2,2,2,certified
8893,1,13,1,0,0,0,certified
8923,1,19,1,0,0,0,certified
8929,1,1,1,2,2,2,certified
8933,-1,5,1,,0,2,bounded
8941,1,13,-1,1,1,1,certified
8951,-1,23,-1,1,1,1,certified
8963,-1,11,-1,1,1,1,certified
8969,-1,17,1,2,2,2,certified
8971,1,19,-1,1,1,1,certified
8999,-1,23,-1,1,1,1,certified
9001,1,1,1,2,2,2,certified
9007,1,7,-1,1,1,1,certified
9011,-1,11,1,2,2,2,certified
9013,1,13,-1,3,3,3,certified
9029,-1,5,-1,1,1,1,certified
9041,-1,17,1,2,2,2,certified
9043,1,19,-1,1,1,1,certified
9049,1,1,-1,1,1,1,certified
9059,-1,11,-1,1,1,1,certified
9067,1,19,1,2,2,2,certified
9091,1,19,-1,1,1,1,certified
9103,1,7,1,0,0,0,certified
9109,1,13,1,2,2,2,certified
9127,1,7,-1,3,3,3,certified
9133,1,13,1,,0,2,bounded
9137,-1,17,-1,1,1,1,certified
9151,1,7,-1,1,1,1,certified
9157,1,13,-1,1,1,1,certified
9161,-1,17,1,2,2,2,certified
9173,-1,5,-1,1,1,1,certified
9181,1,13,1,,0,2,bounded
9187,1,19,-1,1,1,1,certified
9199,1,7,-1,1,1,1,certified
9203,-1,11,-1,1,1,1,certified
9209,-1,17,-1,1,1,1,certified
9221,-1,5,1,0,0,0,certified
9227,-1,11,1,,0,2,bounded
9239,-1,23,-1,1,1,1,certified
9241,1,1,1,0,0,0,certified
9257,-1,17,1,2,2,2,certified
9277,1,13,1,,0,2,bounded
9281,-1,17,-1,1,1,1,certified
9283,1,19,1,2,2,2,certified
9293,-1,5,1,0,0,0,certified
9311,-1,23,-1,,1,3,bounded
9319,1,7,1,2,2,2,certified
9323,-1,11,-1,1,1,1,certified
9337,1,1,-1,1,1,1,certified
9341,-1,5,1,0,0,0,certified
9343,1,7,-1,1,1,1,certified
9349,1,13,1,2,2,2,certified
9371,-1,11,1,2,2,2,certified
9377,-1,17,1,0,0,0,certified
9391,1,7,1,0,0,0,certified
9397,1,13,1,2,2,2,certified
9403,1,19,-1,1,1,1,certified
9413,-1,5,1,2,2,2,certified
9419,-1,11,-1,1,1,1,certified
9421,1,13,1,2,2,2,certified
9431,-1,23,-1,1,1,1,certified
9433,1,1,1,0,0,0,certified
9437,-1,5,1,2,2,2,certified
9439,1,7,-1,1,1,1,certified
9461,-1,5,-1,1,1,1,certified
9463,1,7,1,2,2,2,certified
9467,-1,11,-1,1,1,1,certified
9473,-1,17,1,,0,2,bounded
9479,-1,23,1,,0,2,bounded
9491,-1,11,-1,1,1,1,certified
9497,-1,17,-1,1,1,1,certified
9511,1,7,-1,1,1,1,certified
9521,-1,17,1,,0,2,bounded
9533,-1,5,-1,1,1,1,certified
9539,-1,11,-1,1,1,1,certified
9547,1,19,-1,1,1,1,certified
9551,-1,23,1,,0,2,bounded
9587,-1,11,1,2,2,2,certified
9601,1,1,1,2,2,2,certified
9613,1,13,1,0,0,0,certified
9619,1,19,-1,1,1,1,certified
9623,-1,23,1,0,0,0,certified
9629,-1,5,1,0,0,0,certified
9631,1,7,-1,1,1,1,certified
9643,1,19,1,2,2,2,certified
9649,1,1,1,,0,2,bounded
9661,1,13,-1,1,1,1,certified
9677,-1,5,-1,1,1,1,certified
9679,1,7,1,0,0,0,certified
9689,-1,17,1,,0,2,bounded
9697,1,1,-1,1,1,1,certified
9719,-1,23,-1,1,1,1,certified
9721,1,1,1,,0,2,bounded
9733,1,13,-1,1,1,1,certified
9739,1,19,-1,1,1,1,certified
9743,-1,23,-1,1,1,1,certified
9749,-1,5,-1,3,3,3,certified
9767,-1,23,1,2,2,2,certified
9769,1,1,-1,1,1,1,certified
9781,1,13,1,0,0,0,certified
9787,1,19,1,2,2,2,certified
9791,-1,23,-1,1,1,1,certified
9803,-1,11,1,0,0,0,certified
9811,1,19,-1,3,3,3,certified
9817,1,1,1,2,2,2,certified
9829,1,13,1,2,2,2,certified
9833,-1,17,1,0,0,0,certified
9839,-1,23,1,2,2,2,certified
9851,-1,11,-1,1,1,1,certified
9857,-1,17,-1,1,1,1,certified
9859,1,19,1,0,0,0,certified
9871,1,7,-1,1,1,1,certified
9883,1,19,-1,1,1,1,certified
9887,-1,23,-1,,1,3,bounded
9901,1,13,1,0,0,0,certified
9907,1,19,-1,1,1,1,certified
9923,-1,11,-1,1,1,1,certified
9929,-1,17,-1,1,1,1,certified
9931,1,19,1,2,2,2,certified
9941,-1,5,1,,0,2,bounded
9949,1,13,-1,1,1,1,certified
9967,1,7,1,4,4,4,certified
9973,1,13,1,0,0,0,certified
